ID,Data Center,App,Entry Time,WAN Duration
468,DC1,SES,1510599139260,114
47,DC1,SES,1510599138918,456
445,DC1,SES,1510599139243,130
54,DC1,SES,1510599138928,447
451,DC1,SES,1510599139248,127
457,DC1,SES,1510599139251,124
59,DC1,SES,1510599138935,440
463,DC1,SES,1510599139256,120
66,DC1,SES,1510599138943,433
469,DC1,SES,1510599139260,116
60,DC1,SES,1510599138936,440
475,DC1,SES,1510599139265,111
78,DC1,SES,1510599138956,420
470,DC1,SES,1510599139261,116
72,DC1,SES,1510599138950,427
91,DC1,SES,1510599138970,408
84,DC1,SES,1510599138963,416
107,DC1,SES,1510599138984,395
96,DC1,SES,1510599138975,404
487,DC1,SES,1510599139277,101
101,DC1,SES,1510599138979,401
482,DC1,SES,1510599139272,108
474,DC1,SES,1510599139264,114
481,DC1,SES,1510599139271,111
486,DC1,SES,1510599139276,106
119,DC1,SES,1510599138994,387
499,DC1,SES,1510599139284,97
493,DC1,SES,1510599139281,102
113,DC1,SES,1510599138989,394
494,DC1,SES,1510599139281,102
498,DC1,SES,1510599139284,99
0,DC1,SES,1510599138823,560
120,DC1,SES,1510599138995,388
509,DC1,SES,1510599139293,90
503,DC1,SES,1510599139287,96
125,DC1,SES,1510599139000,383
504,DC1,SES,1510599139288,96
508,DC1,SES,1510599139292,92
132,DC1,SES,1510599139006,378
510,DC1,SES,1510599139295,89
515,DC1,SES,1510599139299,85
137,DC1,SES,1510599139010,374
516,DC1,SES,1510599139299,85
521,DC1,SES,1510599139302,82
144,DC1,SES,1510599139017,367
522,DC1,SES,1510599139303,82
527,DC1,SES,1510599139305,80
149,DC1,SES,1510599139020,365
528,DC1,SES,1510599139306,79
533,DC1,SES,1510599139309,76
156,DC1,SES,1510599139026,359
534,DC1,SES,1510599139309,76
539,DC1,SES,1510599139312,73
150,DC1,SES,1510599139021,364
541,DC1,SES,1510599139314,72
545,DC1,SES,1510599139316,70
168,DC1,SES,1510599139035,351
546,DC1,SES,1510599139316,70
540,DC1,SES,1510599139313,73
162,DC1,SES,1510599139031,355
181,DC1,SES,1510599139047,340
174,DC1,SES,1510599139040,347
193,DC1,SES,1510599139058,329
186,DC1,SES,1510599139052,336
203,DC1,SES,1510599139066,322
198,DC1,SES,1510599139063,325
5,DC1,SES,1510599138847,541
215,DC1,SES,1510599139076,313
21,DC1,SES,1510599138884,505
208,DC1,SES,1510599139070,319
14,DC1,SES,1510599138871,518
227,DC1,SES,1510599139085,304
33,DC1,SES,1510599138899,491
221,DC1,SES,1510599139081,309
26,DC1,SES,1510599138889,501
233,DC1,SES,1510599139090,300
38,DC1,SES,1510599138906,484
45,DC1,SES,1510599138915,476
239,DC1,SES,1510599139095,296
51,DC1,SES,1510599138923,468
245,DC1,SES,1510599139100,292
57,DC1,SES,1510599138932,460
240,DC1,SES,1510599139096,296
257,DC1,SES,1510599139109,284
252,DC1,SES,1510599139105,288
269,DC1,SES,1510599139118,275
63,DC1,SES,1510599138940,453
264,DC1,SES,1510599139114,280
69,DC1,SES,1510599138947,447
270,DC1,SES,1510599139118,276
75,DC1,SES,1510599138953,441
70,DC1,SES,1510599138947,448
276,DC1,SES,1510599139122,273
282,DC1,SES,1510599139126,269
82,DC1,SES,1510599138961,434
288,DC1,SES,1510599139130,265
87,DC1,SES,1510599138966,429
294,DC1,SES,1510599139134,262
94,DC1,SES,1510599138973,423
99,DC1,SES,1510599138977,419
304,DC1,SES,1510599139141,255
311,DC1,SES,1510599139146,251
111,DC1,SES,1510599138988,409
316,DC1,SES,1510599139150,247
104,DC1,SES,1510599138982,415
323,DC1,SES,1510599139155,243
123,DC1,SES,1510599138998,400
328,DC1,SES,1510599139158,240
116,DC1,SES,1510599138992,406
335,DC1,SES,1510599139162,236
135,DC1,SES,1510599139009,390
341,DC1,SES,1510599139167,232
128,DC1,SES,1510599139003,396
347,DC1,SES,1510599139172,227
147,DC1,SES,1510599139019,380
353,DC1,SES,1510599139175,225
141,DC1,SES,1510599139014,386
359,DC1,SES,1510599139179,221
159,DC1,SES,1510599139028,372
365,DC1,SES,1510599139183,217
360,DC1,SES,1510599139180,221
153,DC1,SES,1510599139023,378
377,DC1,SES,1510599139191,210
160,DC1,SES,1510599139029,372
372,DC1,SES,1510599139187,214
165,DC1,SES,1510599139033,368
384,DC1,SES,1510599139197,205
172,DC1,SES,1510599139038,364
389,DC1,SES,1510599139202,200
177,DC1,SES,1510599139042,361
396,DC1,SES,1510599139207,196
184,DC1,SES,1510599139049,354
390,DC1,SES,1510599139203,200
189,DC1,SES,1510599139054,349
406,DC1,SES,1510599139215,188
196,DC1,SES,1510599139061,343
400,DC1,SES,1510599139209,195
190,DC1,SES,1510599139055,349
418,DC1,SES,1510599139225,179
200,DC1,SES,1510599139064,340
412,DC1,SES,1510599139219,185
206,DC1,SES,1510599139069,336
431,DC1,SES,1510599139234,171
212,DC1,SES,1510599139074,331
424,DC1,SES,1510599139229,176
443,DC1,SES,1510599139242,163
436,DC1,SES,1510599139237,169
218,DC1,SES,1510599139078,328
448,DC1,SES,1510599139246,160
224,DC1,SES,1510599139083,323
455,DC1,SES,1510599139250,157
231,DC1,SES,1510599139088,319
461,DC1,SES,1510599139254,153
236,DC1,SES,1510599139092,315
